speaker_prompt_audio_filename,speaker,speaker_prompt_text_transcription,content_to_synthesize,output_audio_filename
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈打開。,speaker001_C1_0
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟客廳的燈。,speaker001_C1_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的電燈點亮。,speaker001_C1_2
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮客廳的燈。,speaker001_C1_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈亮起來。,speaker001_C1_4
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟客廳的電燈。,speaker001_C1_5
speaker001,speaker001,二話不說，拉住他的手往回走。,打開客廳的燈。,speaker001_C1_6
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈光亮起來。,speaker001_C1_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈點亮。,speaker001_C1_8
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈光打開。,speaker001_C1_9
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的燈亮起來。,speaker001_C1_10
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的電燈打開。,speaker001_C1_11
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的電燈亮起來。,speaker001_C1_12
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈光開啟。,speaker001_C1_13
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈點亮。,speaker001_C1_14
speaker001,speaker001,二話不說，拉住他的手往回走。,打開客廳的電燈。,speaker001_C1_15
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的電燈點亮。,speaker001_C1_16
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈打開。,speaker001_C1_17
speaker001,speaker001,二話不說，拉住他的手往回走。,開客廳的電燈。,speaker001_C1_18
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的電燈開啟。,speaker001_C1_19
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮客廳的電燈。,speaker001_C1_20
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的電燈亮起來。,speaker001_C1_21
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的燈光打開。,speaker001_C1_22
speaker001,speaker001,二話不說，拉住他的手往回走。,開起客廳的電燈。,speaker001_C1_23
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈光點亮。,speaker001_C1_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈關掉。,speaker001_C2_0
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉客廳的燈。,speaker001_C2_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈關上。,speaker001_C2_2
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉客廳的電燈。,speaker001_C2_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的電燈關閉。,speaker001_C2_4
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈光關閉。,speaker001_C2_5
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的燈關掉。,speaker001_C2_6
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈光關掉。,speaker001_C2_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈光關閉。,speaker001_C2_8
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈關掉。,speaker001_C2_9
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉客廳的燈光。,speaker001_C2_10
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的燈光關掉。,speaker001_C2_11
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈光熄掉。,speaker001_C2_12
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉客廳的燈光。,speaker001_C2_13
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的燈關上。,speaker001_C2_14
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈熄掉。,speaker001_C2_15
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉客廳的電燈。,speaker001_C2_16
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉客廳的燈。,speaker001_C2_17
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈光熄掉。,speaker001_C2_18
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈關上。,speaker001_C2_19
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的燈光關閉。,speaker001_C2_20
